tex_cache_transactions,eligible_warps_per_cycle,shared_load_throughput,flop_count_sp_add,dram_read_transactions,sysmem_utilization,l2_surface_atomic_store_bytes,tex_cache_throughput,l2_tex_read_transactions,stall_not_selected,branch_efficiency,global_atomic_requests,stall_memory_dependency,sysmem_read_bytes,global_load_requests,global_hit_rate,gld_requested_throughput,inst_executed,benchmark name,cf_issued,inst_executed_shared_atomics,local_hit_rate,flop_count_dp,cf_fu_utilization,double_precision_fu_utilization,sysmem_write_utilization,gst_efficiency,warp_nonpred_execution_efficiency,l2_surface_reduction_bytes,flop_count_dp_add,l2_tex_write_transactions,stall_exec_dependency,inst_issued,l2_write_throughput,l2_write_transactions,l2_utilization,inst_executed_surface_stores,shared_efficiency,l2_global_load_bytes,inst_executed_global_reductions,stall_other,surface_store_requests,inst_misc,inst_executed_global_loads,sysmem_read_transactions,stall_inst_fetch,dram_read_bytes,inst_executed_surface_atomics,atomic_transactions,local_store_transactions,surface_load_requests,stall_constant_memory_dependency,sysmem_read_utilization,flop_count_dp_mul,dram_write_bytes,shared_load_transactions_per_request,gld_efficiency,l2_tex_read_hit_rate,inst_executed_shared_stores,local_load_requests,shared_store_transactions_per_request,local_store_transactions_per_request,ipc,inst_replay_overhead,ecc_throughput,cf_executed,inst_executed_shared_loads,global_store_requests,sysmem_write_bytes,inst_executed_local_stores,l2_tex_write_hit_rate,dram_utilization,ldst_fu_utilization,inst_executed_surface_loads,inst_executed_surface_reductions,l2_read_transactions,inst_integer,l2_global_reduction_bytes,flop_count_dp_fma,flop_count_sp_fma,l2_surface_load_bytes,tex_fu_utilization,inst_per_warp,ecc_transactions,stall_texture,sm_efficiency,inst_bit_convert,l2_tex_write_throughput,inst_executed_local_loads,sysmem_read_throughput,inst_inter_thread_communication,tex_cache_hit_rate,l2_local_global_store_bytes,pcie_total_data_received,surface_atomic_requests,flop_count_sp_mul,atomic_transactions_per_request,global_reduction_requests,l2_tex_read_throughput,l2_read_throughput,inst_executed_global_stores,inst_fp_64,l2_local_load_bytes,shared_load_transactions,warp_execution_efficiency,inst_compute_ld_st,stall_sync,issued_ipc,dram_read_throughput,shared_utilization,inst_executed_global_atomics,flop_sp_efficiency,issue_slot_utilization,shared_store_transactions,local_load_transactions,gld_transactions_per_request,texture_load_requests,achieved_occupancy,special_fu_utilization,local_store_requests,flop_count_sp_special,l2_atomic_transactions,ldst_issued,local_store_throughput,sysmem_write_transactions,ldst_executed,gld_transactions,pcie_total_data_transmitted,inst_fp_32,flop_count_sp,gst_transactions_per_request,l2_global_atomic_store_bytes,flop_dp_efficiency,stall_pipe_busy,shared_store_throughput,l2_tex_hit_rate,surface_reduction_requests,gst_requested_throughput,local_memory_overhead,local_load_throughput,l2_surface_store_bytes,issue_slots,dram_write_transactions,sysmem_write_throughput,stall_memory_throttle,tex_utilization,l2_atomic_throughput,gst_transactions,inst_executed_tex_ops,local_load_transactions_per_request,single_precision_fu_utilization,dram_write_throughput,gld_throughput,gst_throughput,inst_control
76494639,1.316211,0.000000,0,108650993,1,0,126.111934,74689842,0.005761,1.0,0,0.80725973,0,76494639,0.0,31.527983,259645529,bfs,22590689,0,0.0,0,1,0,1,0.06528934,0.8185836500000001,0,0,18310179,0.13129643,259670301,40.727927,35169031,1,0,0.0,2390074968,0,0.0397292,0,724898277,34801942,0,0.04199895,3476831795,0,0,0,0,0.00011688,0,0,1140661182,0.000000,1.0,0.14963745,0,0,0.000000,0.000000,1.050814,0.000064,31.880029,22590689,0,16641300,160,0,0.52873022,4,1,0,0,74698617,1770284893,0,0,0,0,2,39.618764,62390820,0.00059118,0.9992301600000001,0,27.158990,0,0.000000,0,0.7119723299999999,585925731,1809,0,0,0.000000,0,38.164498,38.168982,11581608,0,0,0,0.88660514,311102543,0.0,1.050985,55.517732,0,0,0.0,0.25935697,0,0,4.236897,0,0.797816,0,0,0,0,106243140,0.000000,5,59490751,192042455,2696,0,0,0.966667,0,0.0,0.0016356799999999998,0.000000,0.17756751999999998,0,798.231600,0.0,0.000000,0,256847584,35645661,25.221680,0.02904973,1,0.000000,18310179,0,0.000000,2,25.729053,38.164498,27.158990,222857716
2097152000,13.314790,810.295188,0,2070861495,1,0,101.168342,2096277316,0.76700299,1.0,0,0.13313112,0,2097152000,0.06559131,101.168342,38182502400,gemm,67225600,0,0.0,268461670400,1,10,1,1.0,0.99818975,0,0,13107200,0.28827594,38182890417,647.478028,13107819,2,0,0.47417859999999995,67084865376,0,0.05347901,0,6461849600,525209600,0,0.027174680000000003,66267567846,0,0,0,0,5.919e-05,0,26214400,506856800,1.999610,1.0,0.2840019,525568000,0,2.684401,0.000000,4.150658,0.000043,859.623192,67225600,2101452800,13107200,160,0,0.0,6,2,0,0,2096360305,36243046400,0,134217728000,1073741824000,0,2,745752.000000,534554127,0.0,0.99876353,0,647.477386,0,0.000000,0,0.5004858999999999,419430400,1849241,0,104857600,0.000000,0,101.075378,101.068122,3328000,134244352000,0,4199219200,1.0,100927078400,0.09678369999999999,4.144812,92.768208,6,0,0.92516569,0.94572225,530892800,0,31.908595,0,0.249870,0,0,0,0,4804300800,0.000000,5,3222630400,8388608002,1352704,1073848320000,2147588505600,7.876923,0,0.94665056,0.6599017,102.442826,0.28223495,0,647.477386,0.0,0.000000,0,34906082893,15839275,258.000000,0.00010448,2,0.000000,13107200,0,0.000000,10,755.770529,101.168342,647.477386,2147942400
73440,2.922721,246.118467,0,70281,1,0,64.597654,72896,0.0253385,1.0,0,0.5495303899999999,0,73440,0.0,63.281775,706483,pathfinder,37525,0,0.0,0,1,0,1,1.0,0.95239376,0,0,4096,0.11007374,711999,3.611621,4105,1,0,0.96667238,2332672,0,0.10780723,0,3649472,18768,0,0.02828618,2249020,0,0,0,0,0.01971068,0,0,881003,0.990190,0.9869403,0.10076084,35328,0,0.990036,0.000000,1.585490,0.007808,7.644715,37525,70645,4096,160,0,0.9905592799999999,5,2,0,0,73056,13427008,0,0,0,0,1,639.930254,8691,0.0,0.68909198,0,3.602832,0,0.000000,0,0.49644203,131072,94,0,0,0.000000,0,64.119152,64.260550,1093,0,0,69952,0.9993163300000001,3854144,0.14072103,1.596273,61.819793,2,0,0.0,0.38616943,34976,0,15.652280,0,0.876673,0,0,0,0,221045,0.000000,5,163370,293762,221,0,0,3.747484,0,0.0,0.017222059999999997,123.059234,0.14809842,0,3.602832,0.0,0.000000,0,688986,27531,4.503511,0.00131019,1,0.000000,4096,0,0.000000,3,24.216516,64.119152,3.602832,600576
69206016,2.742771,698.937321,169,75015419,1,0,114.824537,76546048,0.01640341,1.0,0,0.6410962600000001,0,35651584,0.0,114.824537,1121976320,sort,29884416,0,0.0,0,1,0,1,1.0,0.9814252299999999,0,0,67108864,0.22460302,1121989223,58.244790,67108880,2,0,1.0,2449473536,0,0.08500358999999999,0,8455716864,16777216,0,0.09518639999999999,2400493408,0,0,0,0,0.05097189,0,0,2501998804,1.000000,1.0,0.66666667,150994944,0,1.097222,0.000000,1.949888,0.015310,13.958519,29884416,201326592,67108864,160,0,1.0,9,5,0,0,76554718,15235809280,0,0,0,0,1,535.000000,16881697,0.039274239999999995,0.99985473,1400230,58.244777,0,0.000000,0,0.49902534000000004,2147483648,20864,0,0,0.000000,0,114.824537,114.835603,16777216,0,0,201326592,1.0,11276386304,0.5408307099999999,1.949681,122.490898,6,0,5.73e-06,0.45371825,165675008,0,64.000000,0,0.991009,1,0,0,0,616562688,0.000000,5,541065216,276824066,15424,169,169,16.000000,0,0.0,0.00816673,575.167171,0.75073967,0,58.244777,0.0,0.000000,0,1086337605,78187462,858.830078,0.19415683,2,0.000000,67108864,0,0.000000,3,66.362227,114.824537,58.244777,671088640
205000656,2.048286,0.000000,3786554058,115926345,1,0,126.535562,258145971,0.023682500000000002,1.0,0,0.9667707299999999,0,205000656,0.0,108.553502,1461528106,cfd,277060285,0,0.0,0,1,0,1,1.0,1.0,0,0,25000080,0.18464867000000001,1461553809,113.080250,25000098,2,0,0.0,8260671072,0,0.1382174,0,5617393289,51250164,0,0.1750036,3709643042,0,0,0,0,0.00012276,0,0,961918024,0.000000,1.0,0.59325171,0,0,0.000000,0.000000,1.680153,0.000426,22.342475,277060285,0,25000080,160,0,0.0,10,1,0,0,258154401,9745369523,0,0,8325772853,0,2,1169.218743,15960537,0.29099046,0.99984827,40000128,113.080182,0,0.000000,0,0.53451031,800002560,17885,0,2622176410,0.000000,0,159.339224,159.344428,6250020,0,0,0,1.0,1840005823,0.0,1.681452,109.910671,0,0,0.10323774999999999,0.35382081,0,0,16.000000,0,0.876110,1,0,600168596,0,232500744,0.000000,5,60000192,820002626,14045,17694222587,23060276174,4.000000,0,0.0,0.004983850000000001,0.000000,0.54087118,0,113.080182,0.0,0.000000,0,1248610712,30059938,23.713867,0.6602799400000001,2,0.000000,25000080,0,0.000000,3,135.397382,159.339224,113.080182,6603523450
6291456,3.255715,459.103000,301989874,6714864,1,0,54.421335,6291456,0.017572110000000002,1.0,0,0.40149254999999995,0,6291456,0.0,52.066566,395313152,dwt2d,85458944,0,0.0,0,2,0,1,1.0,0.89954981,0,0,25165824,0.16838192,395321621,87.099983,25165836,2,0,0.99063303,201326592,0,0.32590681,0,1476395092,1572864,0,0.11826022,214875648,0,0,0,0,0.0013736,0,0,931655968,1.000000,1.0,0.08284388999999999,6437056,0,1.000000,0.000000,2.788067,0.000217,18.984988,85458944,10161930,25165824,160,0,0.0,9,3,0,0,6293455,2499805324,0,0,704642974,0,2,13883.287260,4371328,0.00941076,0.99933182,201326592,87.099941,0,0.000000,0,0.5,805306368,0,0,61372128,0.000000,0,54.589229,54.605949,6291456,0,0,8774040,0.98282799,524570357,0.36917022000000005,2.538852,59.748708,4,0,0.05002777,0.55726878,5842246,0,16.000001,0,0.952457,1,0,100663282,0,45613056,0.000000,5,22020096,25165826,512,1811939272,1711275822,4.000000,0,0.0,0.005974709999999999,305.696426,0.045090729999999996,0,87.099941,0.0,0.000000,0,347086558,29114249,68.582031,0.00495563,1,0.000000,25165824,0,0.000000,5,100.765601,54.589229,87.099941,1107296326
3545006,0.600595,0.000000,0,8386898,1,0,102.365042,4147158,0.0018132,1.0,2489115,0.9783846900000001,0,524288,0.0,102.365042,11613239,gups,805473,0,0.0,0,1,1,1,1.0,0.99568966,0,0,262144,0.7374476400000001,11650219,93.203629,4781154,2,0,0.0,132708672,0,0.23161121,0,28268944,131072,0,0.03406001,268380752,0,3289640,14,0,0.0060802,0,0,231997312,0.000000,1.0,0.10472678,0,14,0.000000,0.000000,0.603795,0.001223,28.058582,805473,0,262144,160,0,0.30952381,9,1,0,0,8913815,169308311,0,0,0,0,2,11339.840820,7480118,0.0,0.93662859,21167968,93.199007,0,0.000000,0,0.53660417,8388608,0,0,0,9.853694,0,102.365042,102.392767,32768,0,544,0,1.0,9019787,0.0,0.607158,109.673484,0,333849,0.0,0.13965657,0,13,32.000061,0,0.485869,1,14,65536,9550277,3018502,55.065430,5,470996,4194306,512,65536,0,8.000000,152839728,0.0,0.00054173,0.000000,0.10472739,0,93.199007,6.51e-06,51.131836,0,10492239,7249916,19.666016,0.01673895,1,17.911964,262144,0,0.000000,2,107.552303,102.365042,93.199007,14162312
85500000,0.468176,0.000000,350000000,84976526,1,0,224.500761,70000000,0.0015198800000000001,1.0,0,0.95231888,0,8750000,0.0,9.819889,82204860,kmeans,15315104,0,0.0,0,1,0,1,1.0,0.98149005,0,0,8750000,0.03522733,82213578,672.224365,8750013,2,0,0.0,2240000000,0,0.20047622,0,186138880,2187500,0,0.00455328,2719248832,0,0,0,0,5.38e-05,0,0,345683360,0.000000,0.125,0.13055344,0,0,0.000000,0.000000,0.394161,0.000742,31.799794,15315104,0,8750000,160,0,0.0,10,1,0,0,70000119,900333312,0,0,350000000,0,3,1297.261394,28335169,0.02538029,0.99919359,0,672.189411,0,0.000000,0,0.50001033,280000000,256,0,0,0.000000,0,112.249918,112.248036,2187500,0,0,0,1.0,694000000,0.0,0.394146,134.328145,0,0,0.01961554,0.09426325,0,0,16.000001,85491030,0.947642,0,0,0,0,96877604,0.000000,5,21877604,35000002,1024,710000000,1050000000,4.000000,0,0.0,0.00011488999999999999,0.000000,0.1160475,0,672.189411,0.0,0.000000,0,78648298,10802605,13.765625,0.00353232,3,0.000000,8750000,10687500,0.000000,1,879.702350,78.559108,672.189411,84083328
1945118280,0.168721,41.684945,0,300704413,1,0,1.437412,5846889176,6.652e-05,1.0,0,0.00121405,0,1128983792,0.0,1.167528,127634023104,lavamd,7254638336,0,0.0,3566747108864,1,10,1,0.25,0.78148242,0,480163554432,2743600000,0.7390254199999999,127647761306,2.027478,2743600044,,0,0.0858593,187100453632,0,0.026132870000000002,0,249509815392,334474880,0,0.00433136,9622541216,0,0,0,0,1.558e-05,0,342983554432,1010475584,2.039683,0.2702136,0.9534382600000001,84405152,0,5.374744,0.000000,0.172409,0.000108,25.046933,7254638336,6913872000,685900000,160,0,0.99999881,1,1,0,0,5846958607,245581082784,0,1371800000000,0,0,1,121721.289734,33099337,0.0,,68590000000,2.027478,0,0.000000,0,0.02601964,87795200000,810496,0,0,0.000000,0,4.320760,4.320812,109744000,2194947108864,0,14102104000,0.7825663199999999,186453844832,0.22921028,0.172427,227.549079,,0,,0.0415852,453656064,0,23.261756,0,0.562477,0,0,0,0,8898614672,0.000000,5,7527949760,7780473122,1456640,68590000000,0,25.000000,0,,3.88e-06,1.340979,0.9683086,0,519.034332,0.0,0.000000,0,123141964737,31577362,2.000000,4e-08,,0.000000,2743600000,0,0.000000,1,23.895224,4.320760,2.027478,178127980896
2340923,7.416409,299.599293,216000008826,1317900,1,0,994.592483,1758197,0.08192767,0.9999954,210639,0.00423169,0,420843,0.24442814,0.000000,24850151464,mandelbrot,3568769232,0,0.46792943000000004,0,2,0,1,1.0,0.89970021,0,0,37482073,0.18512401,24850872909,15.874009,38258553,1,0,0.57391402,11773152,139236,0.6231086,0,56911145904,103228,0,0.14118879,42172800,0,355249,2342042,0,0.03345471,0,0,1406138944,1.000000,0.0,0.8429248800000001,162304,1547887,0.781546,2.608012,3.635380,0.004905,624.153955,3568769232,176288,35503960,283616,900544,0.05755085,2,1,0,0,5773197,110869698400,4499392,0,57984592816,0,1,2962.368901,8173025,0.00026268,0.99992646,1073741824,15.551837,721016,0.000000,0,0.5,1200883424,254464,0,161403325060,1.018270,141469,747.008560,79.450195,8637500,0,44650400,176288,0.9683578,279136676,0.04548978,3.635544,559.938722,1,209639,0.28192339,0.8417838000000001,126848,2661989,23.025042,0,0.825004,1,2370950,536838144,643132,76077556,995.067915,8863,48332647,2376829,475136,490318534680,493372519518,4.073582,6886688,0.0,0.01641657,215.576619,0.09270115000000001,0,13.927315,0.09517299,1.104496,0,23016159186,43941842,319.000000,0.01419187,1,136.624367,35185565,0,3.691997,8,18.232085,0.000000,14.598983,56004415338
6956,0.406500,477.135957,0,21221,1,0,9.700017,12408,0.0023229,1.0,0,0.30136857,0,6956,0.0,9.470624,117688,nw,17672,0,0.0,0,1,0,1,0.69565217,0.36388566,0,0,8648,0.35811557,118604,13.323524,9554,1,0,0.09349385,397056,0,0.06835862,0,174464,3572,0,0.06890953999999999,679073,0,0,0,0,0.03531601,0,0,612156,3.250000,0.54734848,0.06315861,9400,0,3.100000,0.000000,0.434686,0.009562,16.711982,17672,26320,6016,160,0,0.73239931,4,1,0,0,12762,561562,0,0,0,0,1,627.000000,11984,0.0039238,0.72813633,0,12.059480,0,0.000000,0,0.35632184,276736,151,0,0,0.000000,0,17.302732,17.796673,3008,0,0,85540,0.38038278,445560,0.17148336,0.439465,29.592369,3,0,0.0,0.09396303,29140,0,7.791304,0,0.172822,0,0,0,0,55460,0.000000,5,49068,27826,265,0,0,2.875000,0,0.0,0.00106948,162.540820,0.33801507999999997,0,8.389204,0.0,0.000000,0,102176,19129,7.139703,0.01651884,1,0.000000,8648,0,0.000000,1,26.608334,17.302732,12.059480,189504
31173711469,1.403660,173.719109,0,113511143,1,0,935.652616,3896984012,0.02555847,1.0,0,0.78325863,0,15586855734,0.0,116.956563,35071997832,particlefilter,7793723480,0,0.0,721541945,1,10,1,1.0,0.98118736,0,113499247,35625977,0.45723304,35072786481,165.311038,58405455,1,0,0.8832780499999999,124703488384,0,0.2028586,0,351124259,3896869542,0,0.22519272999999998,3632356576,0,0,125000,0,0.07172033,0,84012194,1718472633,1.000000,0.37467501,0.99696867,171952,0,0.590828,4.000000,1.100910,0.007158,53.937850,7793723480,282353,5313477,160,31250,1.0,7,2,0,0,3896987454,623462990097,0,262015252,37000000,0,3,2243602.727263,70199848,0.04904887,0.9974565,386500000,490.316406,0,0.000000,0,0.74997176,1140031264,1007725,0,0,0.000000,0,467.826301,501.550291,1219727,124690597840,0,75229,0.99993803,124693097840,0.89740782,1.100951,228.498617,1,0,0.00029446,0.27523759,101594,0,31.998722,0,0.969512,1,125000,39503048,0,15587152630,72.162625,5,3896947688,124694845878,758601,151503048,74000000,29.105674,0,0.09187697,0.0040817399999999995,234.601274,0.99690471,0,122.567383,0.001096,0.000000,0,35072770856,53702269,89.000000,0.00324963,5,0.000000,35500977,0,0.000000,2,175.289491,467.826301,490.316406,124692598512
16793600,2.080711,113.140239,216399867,14520327,1,0,123.761778,14688256,0.008927659999999999,0.96552457,0,0.69086977,0,16793600,0.0,101.458245,142698385,srad,21462065,0,0.0,266338304,1,9,1,1.0,0.89683411,0,16646144,10403840,0.44405149,142706096,68.569933,10403853,2,0,0.8988764,470024192,0,0.15817043,0,461886772,5242880,0,0.05634559,464650468,0,0,0,0,0.00010682999999999999,0,16777216,403687328,1.375000,0.93729085,0.66522993,3645408,0,1.000000,0.000000,1.756599,0.000077,16.903376,21462065,3121152,10403840,160,0,0.99472758,9,1,0,0,14688404,1573473836,0,116523008,516030432,0,2,272.175571,2375281,2.21e-06,0.99884864,116523008,68.569842,0,0.000000,0,0.55553145,332922880,68,0,83230720,0.000000,0,108.246277,108.247370,2600960,149815296,0,4291584,0.97516486,366475264,0.1576726,1.756798,107.008712,1,0,0.06394891999999999,0.38430842,3532275,0,16.000001,0,0.981829,1,0,83230715,0,31768416,0.000000,5,16150464,67174402,375,1015414766,1331691453,4.000000,0,0.4092731,0.00337725,93.122374,0.5620116199999999,0,68.569842,0.0,0.000000,0,124870693,12615229,38.636719,0.01415462,2,0.000000,10403840,0,0.000000,3,83.144710,108.246277,68.569842,411667994
185398716,1.258274,133.226605,0,198976900,1,0,108.786568,185396664,0.01240596,1.0,0,0.91867248,0,185398716,0.48841754000000004,66.012282,500000192,where,46875024,0,0.0,0,1,0,1,1.0,0.99987391,0,0,63151041,0.06290443,500037991,112.022885,63152302,2,0,0.9508726900000001,5932693248,0,0.04498818,0,2500002304,46875000,0,0.019103639999999998,6367260800,0,0,0,0,0.02721904,0,0,2316995936,1.563380,1.0,0.11240016000000001,23111993,0,1.563380,0.000000,0.667063,0.016694,16.897614,46875024,23111993,63151041,160,0,0.7089100899999999,9,1,0,0,185410183,8000003072,0,0,0,0,2,207.176465,17633815,0.06521360999999999,0.99976262,0,111.984359,0,0.000000,197027296,0.5,2020833312,512,0,0,0.000000,0,108.785364,116.941737,16276048,0,0,36132833,1.0,2530102804,0.60758916,0.667252,116.753851,2,0,0.0,0.16681307,36132830,0,17.208352,0,0.842724,1,0,0,0,278098122,0.000000,5,103684233,741594866,1024,0,0,7.997347,0,0.0,0.0050132200000000005,133.226594,0.12235328000000001,0,111.983327,0.0,0.000000,0,484412824,72406123,7.044641,0.88234961,1,0.000000,63151041,0,0.000000,2,117.761827,108.785364,111.984359,998506784
