==5037== NVPROF is profiling process 5037, command: ./pathfinder -s 4 -n 1
==5037== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5037== Profiling application: ./pathfinder -s 4 -n 1
==5037== Profiling result:
==5037== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_per_warp","Instructions per warp",1327.826087,1327.826087,1327.826087
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.320717%,94.320717%,94.320717%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.003998,0.003998,0.003998
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.990352,0.990352,0.990352
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.991275,0.991275,0.991275
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",15.231925,15.231925,15.231925
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",93386,93386,93386
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",186408,186408,186408
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gld_transactions","Global Load Transactions",739906,739906,739906
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gst_transactions","Global Store Transactions",5120,5120,5120
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"sysmem_read_transactions","System Memory Read Transactions",9,9,9
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"sysmem_write_transactions","System Memory Write Transactions",2082,2082,2082
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",184451,184451,184451
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",21607,21607,21607
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",164047,164047,164047
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",68690,68690,68690
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",13.660885GB/s,13.660885GB/s,13.660885GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gst_requested_throughput","Requested Global Store Throughput",395.764997MB/s,395.764997MB/s,395.764995MB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gld_throughput","Global Load Throughput",13.853224GB/s,13.853224GB/s,13.853224GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gst_throughput","Global Store Throughput",395.764997MB/s,395.764997MB/s,395.764995MB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",49.611078%,49.611078%,49.611078%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",10.714364%,10.714364%,10.714364%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",12.383282GB/s,12.383282GB/s,12.383282GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"dram_write_throughput","Device Memory Write Throughput",5.185146GB/s,5.185146GB/s,5.185146GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"tex_cache_throughput","Unified Cache Throughput",13.963132GB/s,13.963132GB/s,13.963132GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",13.853224GB/s,13.853224GB/s,13.853224GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",395.764997MB/s,395.764997MB/s,395.764995MB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_read_throughput","L2 Throughput (Reads)",13.923502GB/s,13.923502GB/s,13.923502GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_write_throughput","L2 Throughput (Writes)",1.631030GB/s,1.631030GB/s,1.631030GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"sysmem_read_throughput","System Memory Read Throughput",712.376953KB/s,712.376953KB/s,712.374023KB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"sysmem_write_throughput","System Memory Write Throughput",160.934126MB/s,160.934126MB/s,160.934123MB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",56.284913GB/s,56.284913GB/s,56.284913GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_store_throughput","Shared Memory Store Throughput",28.197411GB/s,28.197411GB/s,28.197411GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",98.611595%,98.611595%,98.611595%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"tex_cache_transactions","Unified Cache Transactions",184976,184976,184976
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_executed","Instructions Executed",1954560,1954560,1954560
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_issued","Instructions Issued",1962219,1962219,1962219
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.558780%,0.558780%,0.558780%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",0.991573%,0.991573%,0.991573%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",90.935601%,90.935601%,90.935601%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_sync","Issue Stall Reasons (Synchronization)",3.924707%,3.924707%,3.924707%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_other","Issue Stall Reasons (Other)",1.680658%,1.680658%,1.680658%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.139458%,0.139458%,0.139458%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.123478%,0.123478%,0.123478%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",93.949835%,93.949835%,93.949835%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_fp_32","FP Instructions(Single)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_integer","Integer Instructions",33526240,33526240,33526240
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_control","Control-Flow Instructions",1554432,1554432,1554432
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_compute_ld_st","Load/Store Instructions",12915168,12915168,12915168
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_misc","Misc Instructions",10997920,10997920,10997920
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"issue_slots","Issue Slots",1815019,1815019,1815019
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"cf_issued","Issued Control-Flow Instructions",96960,96960,96960
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"cf_executed","Executed Control-Flow Instructions",96960,96960,96960
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"ldst_issued","Issued Load/Store Instructions",663888,663888,663888
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"ldst_executed","Executed Load/Store Instructions",617856,617856,617856
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
