==6069== NVPROF is profiling process 6069, command: ./pathfinder -s 1 -n 1
==6069== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6069== Profiling application: ./pathfinder -s 1 -n 1
==6069== Profiling result:
==6069== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_per_warp","Instructions per warp",208.636029,208.636029,208.636029
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"warp_execution_efficiency","Warp Execution Efficiency",99.920703%,99.920703%,99.920703%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",95.568204%,95.568204%,95.568204%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_replay_overhead","Instruction Replay Overhead",0.023965,0.025868,0.024020
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.961990,0.961990,0.961990
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.959559,0.959559,0.959559
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gld_transactions_per_request","Global Load Transactions Per Request",15.310294,15.310294,15.310294
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gst_transactions_per_request","Global Store Transactions Per Request",4.858238,4.858238,4.858238
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_store_transactions","Shared Store Transactions",2088,2088,2088
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_load_transactions","Shared Load Transactions",4176,4176,4176
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gld_transactions","Global Load Transactions",20822,20822,20822
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gst_transactions","Global Store Transactions",1268,1268,1268
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_read_transactions","L2 Read Transactions",5380,5396,5387
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_write_transactions","L2 Write Transactions",1281,1282,1281
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"dram_read_transactions","Device Memory Read Transactions",4543,5171,5002
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"dram_write_transactions","Device Memory Write Transactions",3100,4156,3715
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"global_hit_rate","Global Hit Rate in unified l1/tex",18.862090%,18.862090%,18.862090%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gld_requested_throughput","Requested Global Load Throughput",18.066257GB/s,19.940351GB/s,18.874935GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gst_requested_throughput","Requested Global Store Throughput",3.585242GB/s,3.957155GB/s,3.745723GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gld_throughput","Global Load Throughput",22.645844GB/s,24.994998GB/s,23.659511GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gst_throughput","Global Store Throughput",4.439538GB/s,4.900071GB/s,4.638259GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"tex_cache_hit_rate","Unified Cache Hit Rate",47.519330%,47.519330%,47.519330%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",2.439024%,15.015244%,5.642186%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",48.895899%,81.466877%,57.352468%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"dram_read_throughput","Device Memory Read Throughput",17.140391GB/s,19.320836GB/s,18.298589GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"dram_write_throughput","Device Memory Write Throughput",10.937279GB/s,15.646596GB/s,13.591761GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"tex_cache_throughput","Unified Cache Throughput",18.223812GB/s,20.114249GB/s,19.039542GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",18.374364GB/s,20.280419GB/s,19.196833GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",4.439538GB/s,4.900071GB/s,4.638259GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_read_throughput","L2 Throughput (Reads)",18.836524GB/s,20.821436GB/s,19.705775GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_write_throughput","L2 Throughput (Writes)",4.488217GB/s,4.950308GB/s,4.686744GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"sysmem_write_throughput","System Memory Write Throughput",17.926208MB/s,19.785773MB/s,18.728499MB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_load_throughput","Shared Memory Load Throughput",58.484257GB/s,64.551088GB/s,61.102114GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_store_throughput","Shared Memory Store Throughput",29.242128GB/s,32.275544GB/s,30.551057GB/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gld_efficiency","Global Memory Load Efficiency",79.777365%,79.777365%,79.777365%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"gst_efficiency","Global Memory Store Efficiency",80.757098%,80.757098%,80.757098%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"tex_cache_transactions","Unified Cache Transactions",5205,5205,5205
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_executed","Instructions Executed",56749,56749,56749
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_issued","Instructions Issued",58109,58217,58112
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.612112%,3.388120%,2.974846%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.778305%,10.126695%,8.866794%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_memory_dependency","Issue Stall Reasons (Data Request)",43.022757%,55.981900%,49.611112%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_sync","Issue Stall Reasons (Synchronization)",12.562257%,18.593436%,15.005422%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_other","Issue Stall Reasons (Other)",8.837173%,11.488609%,10.063553%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",8.170757%,14.610324%,10.245618%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.996809%,1.296534%,1.136076%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"shared_efficiency","Shared Memory Efficiency",98.718870%,98.718870%,98.718870%
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_fp_32","FP Instructions(Single)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_integer","Integer Instructions",1029696,1029696,1029696
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_control","Control-Flow Instructions",43520,43520,43520
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_compute_ld_st","Load/Store Instructions",316992,316992,316992
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_misc","Misc Instructions",345280,345280,345280
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"issue_slots","Issue Slots",53757,53865,53760
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"cf_issued","Issued Control-Flow Instructions",2709,2709,2709
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"cf_executed","Executed Control-Flow Instructions",2709,2709,2709
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"ldst_issued","Issued Load/Store Instructions",17659,17659,17659
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"ldst_executed","Executed Load/Store Instructions",15210,15210,15210
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",157,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
